;Bone,ボーン名,ボーン名(英),変形階層,物理後(0/1),位置_x,位置_y,位置_z,回転(0/1),移動(0/1),IK(0/1),表示(0/1),操作(0/1),親ボーン名,表示先(0:オフセット/1:ボーン),表示先ボーン名,オフセット_x,オフセット_y,オフセット_z,ローカル付与(0/1),回転付与(0/1),移動付与(0/1),付与率,付与親名,軸制限(0/1),制限軸_x,制限軸_y,制限軸_z,ローカル軸(0/1),ローカルX軸_x,ローカルX軸_y,ローカルX軸_z,ローカルZ軸_x,ローカルZ軸_y,ローカルZ軸_z,外部親(0/1),外部親Key,IKTarget名,IKLoop,IK単位角[deg]
Bone,"ﾈｸﾀｲ３","necktie3",0,0,0,13.07617,-1.37111,1,0,0,1,1,"ﾈｸﾀｲ２",1,"ﾈｸﾀｲ４",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"下半身","lower body",0,0,0,13.24258,-0.255269,1,0,0,1,1,"腰",1,"下半身先",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"腰飾り","waist accessory",0,0,1.722951,11.10097,0.22733,1,0,0,1,1,"下半身",1,"腰飾り先",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"左髪１","hair1_L",0,0,1.6482,19.63919,1.454361,1,0,0,1,1,"頭",1,"左髪２",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"左髪２","hair2_L",0,0,2.062622,18.04028,1.826501,1,0,0,1,1,"左髪１",1,"左髪３",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"左髪３","hair3_L",0,0,2.672939,16.10377,2.054081,1,0,0,1,1,"左髪２",1,"左髪４",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"左髪４","hair4_L",0,0,3.27088,12.91209,2.29635,1,0,0,1,1,"左髪３",1,"左髪５",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"左髪５","hair5_L",0,0,3.509651,9.614594,2.546681,1,0,0,1,1,"左髪４",1,"左髪６",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"左髪６","hair6_L",0,0,3.365883,6.233677,2.37247,1,0,0,1,1,"左髪５",1,"左髪７",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"左肩P","shoulderP_L",0,0,0.136362,16.12999,0.264887,1,0,0,1,1,"上半身2",0,"",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"左肩","shoulder_L",0,0,0.136362,16.12999,0.264887,1,0,0,1,1,"左肩P",1,"左腕",0,0,0,0,0,0,1,"",0,0,0,0,1,0.9998026,-0.01879856,-0.00644754,0.007378704,0.04989289,0.9987273,0,0,"",0,57.29578
Bone,"左肩C","",0,0,1.011588,16.11353,0.2592428,1,0,0,0,1,"左肩",0,"",0,0,0,0,1,0,-1,"左肩P",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"左腕","arm_L",0,0,1.011588,16.11353,0.2592428,1,0,0,1,1,"左肩C",1,"左ひじ",0,0,0,0,0,0,1,"",0,0,0,0,1,0.9246155,-0.2926424,0.2438166,-0.361568,-0.4729724,0.803471,0,0,"",0,57.29578
Bone,"左腕捩","arm twist_L",0,0,1.948408,15.98631,0.6042854,1,0,0,1,1,"左腕",1,"左腕捩先",0,0,0,0,0,0,1,"",1,0.9056069,-0.3725558,0.2026781,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"左ひじ","elbow_L",0,0,3.886175,15.20372,1.017258,1,0,0,1,1,"左腕捩",1,"左手首",0,0,0,0,0,0,1,"",0,0,0,0,1,0.8843749,-0.4434132,0.1458279,-0.3684999,-0.4714661,0.8012038,0,0,"",0,57.29578
Bone,"左手捩","wrist twist_L",0,0,4.399616,14.95664,1.104014,1,0,0,1,1,"左ひじ",1,"左手捩先",0,0,0,0,0,0,1,"",1,0.8820264,-0.4486082,0.1441528,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"左手首","wrist_L",0,0,5.832551,14.22784,1.338204,1,0,0,1,1,"左手捩",1,"左手先",0,0,0,0,0,0,1,"",0,0,0,0,1,0.8476813,-0.5092654,0.1486114,-0.4086975,-0.4482965,0.7949821,0,0,"",0,57.29578
Bone,"左ダミー","dummy_L",0,0,6.269382,13.77448,1.275478,1,1,0,1,1,"左手首",0,"",-0.3563064,-0.9084052,-0.6984604,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"左袖","sleeve_L",0,0,5.063372,14.67033,1.236529,1,1,0,1,1,"左ひじ",1,"左袖先",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"左親指０","thumb0_L",0,0,6.264294,14.08662,1.075394,1,0,0,1,1,"左手首",1,"左親指１",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"左親指１","thumb1_L",0,0,6.480165,14.016,0.9439881,1,0,0,1,1,"左親指０",1,"左親指２",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"左親指２","thumb2_L",0,0,6.84233,13.87858,0.8304628,1,0,0,1,1,"左親指１",1,"左親指先",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"左人指１","fore1_L",0,0,6.923211,13.81356,1.3203,1,0,0,1,1,"左手首",1,"左人指２",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"左人指２","fore2_L",0,0,7.227174,13.68164,1.386705,1,0,0,1,1,"左人指１",1,"左人指３",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"左人指３","fore3_L",0,0,7.473256,13.5679,1.427617,1,0,0,1,1,"左人指２",1,"左人差指先",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"左中指１","middle1_L",0,0,6.870439,13.7195,1.469881,1,0,0,1,1,"左手首",1,"左中指２",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"左中指２","middle2_L",0,0,7.236919,13.60341,1.569064,1,0,0,1,1,"左中指１",1,"左中指３",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"左中指３","middle3_L",0,0,7.51599,13.47533,1.616368,1,0,0,1,1,"左中指２",1,"左中指先",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"左薬指１","third1_L",0,0,6.815604,13.62103,1.597367,1,0,0,1,1,"左手首",1,"左薬指２",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"左薬指２","third2_L",0,0,7.089152,13.48873,1.643151,1,0,0,1,1,"左薬指１",1,"左薬指３",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"左薬指３","third3_L",0,0,7.343019,13.38869,1.711557,1,0,0,1,1,"左薬指２",1,"左薬指先",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"左小指１","little1_L",0,0,6.639906,13.50221,1.667932,1,0,0,1,1,"左手首",1,"左小指２",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"左小指２","little2_L",0,0,6.893098,13.40985,1.722503,1,0,0,1,1,"左小指１",1,"左小指３",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"左小指３","little3_L",0,0,7.062063,13.32915,1.741087,1,0,0,1,1,"左小指２",1,"左小指先",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"左ｽｶｰﾄ前","front skirt_L",0,0,1.078189,12.16489,-0.951838,1,0,0,1,1,"下半身",1,"左スカート前先",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"左ｽｶｰﾄ後","back skirt_L",0,0,1.017702,12.00671,0.666983,1,0,0,1,1,"下半身",1,"左スカート後先",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"腰キャンセル左","",0,0,0.796811,10.75273,-0.07274297,1,0,0,0,1,"下半身",0,"",0,0,0,0,1,0,-1,"腰",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"左足","leg_L",0,0,0.796811,10.75273,-0.07274297,1,0,0,1,1,"腰キャンセル左",1,"左ひざ",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"左ひざ","knee_L",0,0,0.673676,5.927077,-0.05348097,1,0,0,1,1,"左足",1,"左足首",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"左足首","ankle_L",0,0,0.875424,1.34,2.980232E-08,1,0,0,1,1,"左ひざ",1,"左つま先",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"右髪１","hair1_R",0,0,-1.6482,19.63919,1.454361,1,0,0,1,1,"頭",1,"右髪２",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"右髪２","hair2_R",0,0,-2.062622,18.04028,1.826501,1,0,0,1,1,"右髪１",1,"右髪３",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"右髪３","hair3_R",0,0,-2.672939,16.10377,2.054081,1,0,0,1,1,"右髪２",1,"右髪４",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"右髪４","hair4_R",0,0,-3.27088,12.91209,2.29635,1,0,0,1,1,"右髪３",1,"右髪５",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"右髪５","hair5_R",0,0,-3.509651,9.614594,2.546681,1,0,0,1,1,"右髪４",1,"右髪６",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"右髪６","hair6_R",0,0,-3.365883,6.233677,2.37247,1,0,0,1,1,"右髪５",1,"右髪７",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"右肩P","shoulderP_R",0,0,-0.136362,16.12999,0.264887,1,0,0,1,1,"上半身2",0,"",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"右肩","shoulder_R",0,0,-0.136362,16.12999,0.264887,1,0,0,1,1,"右肩P",1,"右腕",0,0,0,0,0,0,1,"",0,0,0,0,1,-0.9998026,-0.01879842,-0.00644754,-0.00737876,0.04989623,0.9987271,0,0,"",0,57.29578
Bone,"右肩C","",0,0,-1.011588,16.11353,0.2592428,1,0,0,0,1,"右肩",0,"",0,0,0,0,1,0,-1,"右肩P",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"右腕","arm_R",0,0,-1.011588,16.11353,0.2592428,1,0,0,1,1,"右肩C",1,"右ひじ",0,0,0,0,0,0,1,"",0,0,0,0,1,-0.9246154,-0.2926427,0.2438165,0.3615665,-0.4729616,0.8034781,0,0,"",0,57.29578
Bone,"右腕捩","arm twist_R",0,0,-1.948408,15.98631,0.6042851,1,0,0,1,1,"右腕",1,"右腕捩先",0,0,0,0,0,0,1,"",1,-0.9056068,-0.372556,0.202678,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"右ひじ","elbow_R",0,0,-3.886173,15.20372,1.017258,1,0,0,1,1,"右腕捩",1,"右手首",0,0,0,0,0,0,1,"",0,0,0,0,1,-0.8843747,-0.4434136,0.1458276,0.3684922,-0.4714455,0.8012194,0,0,"",0,57.29578
Bone,"右手捩","wrist twist_R",0,0,-4.399615,14.95664,1.104013,1,0,0,1,1,"右ひじ",1,"右手捩先",0,0,0,0,0,0,1,"",1,-0.8820264,-0.4486085,0.1441527,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"右手首","wrist_R",0,0,-5.83255,14.22784,1.338203,1,0,0,1,1,"右手捩",1,"右手先",0,0,0,0,0,0,1,"",0,0,0,0,1,0.8586857,-0.1530581,-0.4891136,0.372326,-0.4695164,0.8005796,0,0,"",0,57.29578
Bone,"右ダミー","dummy_R",0,0,-6.26938,13.77448,1.275478,1,1,0,1,1,"右手首",0,"",0.3563064,-0.9084049,-0.6984603,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"右袖","sleeve_R",0,0,-5.06337,14.67033,1.236529,1,1,0,1,1,"右ひじ",1,"右袖先",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"右親指０","thumb0_R",0,0,-6.264292,14.08661,1.075392,1,0,0,1,1,"右手首",1,"右親指１",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"右親指１","thumb1_R",0,0,-6.480163,14.016,0.943987,1,0,0,1,1,"右親指０",1,"右親指２",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"右親指２","thumb2_R",0,0,-6.842328,13.87857,0.8304617,1,0,0,1,1,"右親指１",1,"右親指先",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"右人指１","fore1_R",0,0,-6.923209,13.81356,1.320299,1,0,0,1,1,"右手首",1,"右人指２",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"右人指２","fore2_R",0,0,-7.227171,13.68163,1.386704,1,0,0,1,1,"右人指１",1,"右人指３",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"右人指３","fore3_R",0,0,-7.473254,13.5679,1.427616,1,0,0,1,1,"右人指２",1,"右人差指先",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"右中指１","middle1_R",0,0,-6.870437,13.7195,1.46988,1,0,0,1,1,"右手首",1,"右中指２",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"右中指２","middle2_R",0,0,-7.236917,13.60341,1.569063,1,0,0,1,1,"右中指１",1,"右中指３",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"右中指３","middle3_R",0,0,-7.515988,13.47533,1.616367,1,0,0,1,1,"右中指２",1,"右中指先",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"右薬指１","third1_R",0,0,-6.815602,13.62103,1.597366,1,0,0,1,1,"右手首",1,"右薬指２",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"右薬指２","third2_R",0,0,-7.089151,13.48873,1.64315,1,0,0,1,1,"右薬指１",1,"右薬指３",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"右薬指３","third3_R",0,0,-7.343018,13.38869,1.711556,1,0,0,1,1,"右薬指２",1,"右薬指先",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"右小指１","little1_R",0,0,-6.639904,13.50221,1.667931,1,0,0,1,1,"右手首",1,"右小指２",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"右小指２","little2_R",0,0,-6.893096,13.40985,1.722502,1,0,0,1,1,"右小指１",1,"右小指３",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"右小指３","little3_R",0,0,-7.062061,13.32915,1.741086,1,0,0,1,1,"右小指２",1,"右小指先",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"右ｽｶｰﾄ前","front skirt_R",0,0,-1.078189,12.16489,-0.951838,1,0,0,1,1,"下半身",1,"右スカート前先",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"右ｽｶｰﾄ後","back skirt_R",0,0,-1.017702,12.00671,0.666983,1,0,0,1,1,"下半身",1,"右スカート後先",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"腰キャンセル右","",0,0,-0.796811,10.75273,-0.07274297,1,0,0,0,1,"下半身",0,"",0,0,0,0,1,0,-1,"腰",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"右足","leg_R",0,0,-0.796811,10.75273,-0.07274297,1,0,0,1,1,"腰キャンセル右",1,"右ひざ",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"右ひざ","knee_R",0,0,-0.673676,5.927077,-0.05348097,1,0,0,1,1,"右足",1,"右足首",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"右足首","ankle_R",0,0,-0.875424,1.34,2.980232E-08,1,0,0,1,1,"右ひざ",1,"右つま先",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"両目","eyes",0,0,0,21,-0.7,1,0,0,1,1,"頭",1,"両目先",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"前髪１","front hair1",0,0,-1.08504,19.47236,-0.8871011,1,0,0,1,1,"頭",1,"前髪１先",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"前髪２","front hair2",0,0,-0.414511,19.4824,-1.217045,1,0,0,1,1,"頭",1,"前髪２先",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"前髪３","front hair3",0,0,0.541468,19.43488,-1.265278,1,0,0,1,1,"頭",1,"前髪３先",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"左目光","eyelight_L",2,0,0.416226,17.79452,-0.439503,1,0,0,1,1,"左目",1,"左目光先",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"右目光","eyelight_R",2,0,-0.241832,17.89126,-0.1414,1,0,0,1,1,"右目",1,"右目光先",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"ﾈｸﾀｲ４","necktie4",0,0,0,10.97783,-1.700663,1,0,0,0,1,"ﾈｸﾀｲ３",1,"",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"左髪７","hair7_L",0,0,1.908212,2.135073,0.357213,1,0,0,0,1,"左髪６",1,"",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"右髪７","hair7_R",0,0,-1.908212,2.135073,0.357213,1,0,0,0,1,"右髪６",1,"",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"左つま先","toe_L",0,0,0.928699,1.192093E-07,-2.463567,1,0,0,0,1,"左足首",1,"",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"右つま先","toe_R",0,0,-0.928699,1.192093E-07,-2.463567,1,0,0,0,1,"右足首",1,"",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"ﾈｸﾀｲＩＫ","necktie IK",1,0,0,10.97783,-1.700663,1,1,1,1,1,"腰",1,"ﾈｸﾀｲＩＫ先",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"ﾈｸﾀｲ４",15,6.875494
;IKLink,親ボーン名,Linkボーン名,角度制限(0/1),XL[deg],XH[deg],YL[deg],YH[deg],ZL[deg],ZH[deg]
IKLink,"ﾈｸﾀｲＩＫ","ﾈｸﾀｲ３",0,0,0,0,0,0,0
IKLink,"ﾈｸﾀｲＩＫ","ﾈｸﾀｲ２",0,0,0,0,0,0,0
IKLink,"ﾈｸﾀｲＩＫ","ﾈｸﾀｲ１",0,0,0,0,0,0,0
Bone,"左髪ＩＫ","hair IK_L",1,0,1.908212,2.135073,0.357213,1,1,1,1,1,"腰",1,"左髪ＩＫ先",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"左髪７",8,6.875494
;IKLink,親ボーン名,Linkボーン名,角度制限(0/1),XL[deg],XH[deg],YL[deg],YH[deg],ZL[deg],ZH[deg]
IKLink,"左髪ＩＫ","左髪６",0,0,0,0,0,0,0
IKLink,"左髪ＩＫ","左髪５",0,0,0,0,0,0,0
IKLink,"左髪ＩＫ","左髪４",0,0,0,0,0,0,0
IKLink,"左髪ＩＫ","左髪３",0,0,0,0,0,0,0
IKLink,"左髪ＩＫ","左髪２",0,0,0,0,0,0,0
Bone,"右髪ＩＫ","hair IK_R",1,0,-1.908212,2.135073,0.357213,1,1,1,1,1,"腰",1,"右髪ＩＫ先",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"右髪７",8,6.875494
;IKLink,親ボーン名,Linkボーン名,角度制限(0/1),XL[deg],XH[deg],YL[deg],YH[deg],ZL[deg],ZH[deg]
IKLink,"右髪ＩＫ","右髪６",0,0,0,0,0,0,0
IKLink,"右髪ＩＫ","右髪５",0,0,0,0,0,0,0
IKLink,"右髪ＩＫ","右髪４",0,0,0,0,0,0,0
IKLink,"右髪ＩＫ","右髪３",0,0,0,0,0,0,0
IKLink,"右髪ＩＫ","右髪２",0,0,0,0,0,0,0
Bone,"左足IK親","leg IKP_L",0,0,0.875424,0,0,1,1,0,1,1,"全ての親",1,"左足ＩＫ",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"左足ＩＫ","leg IK_L",1,0,0.875424,1.34,0,1,1,1,1,1,"左足IK親",1,"左足ＩＫ先",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"左足首",40,114.5916
;IKLink,親ボーン名,Linkボーン名,角度制限(0/1),XL[deg],XH[deg],YL[deg],YH[deg],ZL[deg],ZH[deg]
IKLink,"左足ＩＫ","左ひざ",1,-180,-0.5,0,0,0,0
IKLink,"左足ＩＫ","左足",0,0,0,0,0,0,0
Bone,"右足IK親","leg IKP_R",0,0,-0.875424,0,0,1,1,0,1,1,"全ての親",1,"右足ＩＫ",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,57.29578
Bone,"右足ＩＫ","leg IK_R",1,0,-0.875424,1.34,0,1,1,1,1,1,"右足IK親",1,"右足ＩＫ先",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"右足首",40,114.5916
;IKLink,親ボーン名,Linkボーン名,角度制限(0/1),XL[deg],XH[deg],YL[deg],YH[deg],ZL[deg],ZH[deg]
IKLink,"右足ＩＫ","右ひざ",1,-180,-0.5,0,0,0,0
IKLink,"右足ＩＫ","右足",0,0,0,0,0,0,0
Bone,"左つま先ＩＫ","toe IK_L",1,0,0.928699,0,-2.463567,1,1,1,1,1,"左足ＩＫ",1,"左つま先ＩＫ先",0,0,0,0,0,0,1,"",0,0,0,0,0,1,0,0,0,0,1,0,0,"左つま先",3,229.1831
